contract_id,event_date,event_type
48875,2021-04-07 20:06:14,Отключение услуги Аренда ТВ-приставки
48875,2021-04-07 20:06:21,Оборудование
13137,2021-04-22 05:52:40,Обращение в службу заботы о клиентах
13137,2021-04-22 10:04:16,Обращение в службу заботы о клиентах
13137,2021-04-22 12:39:41,Изменение истории
13137,2021-04-22 12:39:58,Продление действия тарифа
30814,2021-03-22 15:38:07,Добавление в Обращались с номеров
30814,2021-03-22 15:40:31,Обращение в службу заботы о клиентах
50230,2021-04-07 11:23:34,Перенос денежных средств
50230,2021-04-07 11:23:57,Изменение истории
53034,2021-03-27 21:49:59,Добавление в Обращались с номеров
53034,2021-03-27 21:50:09,Обращение в службу заботы о клиентах
53034,2021-03-27 21:54:05,Предложение ТВ
53034,2021-03-27 21:59:36,Обращение в службу заботы о клиентах
9672,2021-04-13 22:23:26,Перенос денежных средств
14493,2021-04-02 11:15:43,Перенос денежных средств
14493,2021-04-02 11:17:18,Перенос денежных средств
57828,2021-03-24 10:13:29,Смена тарифа
58777,2021-03-01 08:36:33,Обращение в службу заботы о клиентах
58777,2021-04-20 18:18:16,Изменение данных клиента
58777,2021-04-20 18:18:16,Возвращение клиента
58777,2021-04-20 18:19:25,Операция с mac-адресом
58777,2021-04-20 18:21:17,Активация точки подключения на сутки
58777,2021-04-20 18:30:05,Смена тарифа
58777,2021-04-21 23:07:16,Обращение в службу заботы о клиентах
58777,2021-04-21 23:07:34,Смена пароля
58777,2021-04-26 19:29:20,Обращение в службу заботы о клиентах
59263,2021-03-15 10:15:38,Обращение в службу заботы о клиентах
59263,2021-03-15 19:52:08,Внутреннее сообщение
59263,2021-03-18 17:34:31,Уведомления: подключение
59263,2021-03-18 17:37:26,Уведомления: подтверждение
59944,2021-04-14 20:03:32,Добавление в Обращались с номеров
59944,2021-04-14 20:19:21,Обращение в службу заботы о клиентах
28738,2021-03-21 17:46:28,Обращение в службу заботы о клиентах
28738,2021-03-21 18:48:23,Операция с mac-адресом
28738,2021-03-21 19:05:54,Состояние клиентского оборудования
31566,2021-03-17 21:32:39,Обращение в службу заботы о клиентах
31566,2021-04-04 13:54:12,Обращение в службу заботы о клиентах
31566,2021-04-13 19:12:48,Обращение в службу заботы о клиентах
31566,2021-04-18 15:20:57,Смена схемы оплаты
31566,2021-04-18 15:22:05,Обращение в службу заботы о клиентах
31566,2021-04-19 17:15:33,Отключение услуги Аренда ТВ-приставки
31566,2021-04-19 17:15:36,Оборудование
31566,2021-04-19 17:15:47,Обращение в службу заботы о клиентах
31566,2021-04-22 22:04:58,Смена пароля
31566,2021-04-22 22:06:19,Обращение в службу заботы о клиентах
39446,2021-03-23 16:43:38,Включена 20% скидка
39446,2021-03-23 16:43:59,Включение услуги Аренда ТВ-приставки
39446,2021-03-23 16:43:59,Включение IPTV-пакета
39446,2021-03-23 16:43:59,Оборудование
39446,2021-03-23 16:46:24,Отключение услуги Аренда ТВ-приставки
39446,2021-03-23 16:46:27,Оборудование
39446,2021-03-23 16:46:38,Выключение IPTV-пакета
39446,2021-03-23 16:46:52,Отключение скидки 20%
39446,2021-03-23 16:46:56,Отключение скидки 20%
10798,2021-04-07 12:18:33,Обращение в службу заботы о клиентах
10798,2021-04-07 12:23:20,Предложение тарифа
62570,2021-04-24 23:53:46,Перенос денежных средств
62570,2021-04-24 23:55:34,Изменение истории
12916,2021-03-28 14:26:19,Обращение в службу заботы о клиентах
65455,2021-04-28 19:22:02,Перенос денежных средств
65455,2021-04-28 19:23:23,Изменение истории
67578,2021-03-08 13:31:35,Обращение в службу заботы о клиентах
67578,2021-03-08 18:56:09,Состояние клиентского оборудования
68344,2021-03-08 12:04:50,Активация гарантированного платежа
68344,2021-03-08 12:04:57,Обращение в службу заботы о клиентах
68344,2021-03-10 09:46:09,Обращение в службу заботы о клиентах
68344,2021-03-10 09:46:13,Обращение в службу заботы о клиентах
68344,2021-03-10 09:55:14,Обращение в службу заботы о клиентах
68344,2021-03-10 14:31:59,Обращение в службу заботы о клиентах
68344,2021-03-10 14:40:50,Обращение в службу заботы о клиентах
68344,2021-03-11 13:58:13,Обращение в службу заботы о клиентах
68344,2021-03-11 14:19:36,Обращение в службу заботы о клиентах
68344,2021-03-11 14:55:29,Обращение в службу заботы о клиентах
68344,2021-03-11 14:57:19,Обращение в службу заботы о клиентах
68344,2021-03-11 19:24:34,Обращение в службу заботы о клиентах
68344,2021-03-12 02:23:54,Обращение в службу заботы о клиентах
68344,2021-03-12 06:54:17,Обращение в службу заботы о клиентах
68344,2021-03-12 08:28:18,Обращение в службу заботы о клиентах
68344,2021-03-25 15:56:49,Обращение в службу заботы о клиентах
68344,2021-03-25 16:20:32,Обращение в службу заботы о клиентах
68344,2021-03-25 16:44:54,Обращение в службу заботы о клиентах
68344,2021-03-25 16:50:56,Обращение в службу заботы о клиентах
68344,2021-03-25 18:12:07,Состояние клиентского оборудования
69681,2021-03-03 19:07:41,Обращение в службу заботы о клиентах
69681,2021-03-03 19:18:41,Обращение в службу заботы о клиентах
69681,2021-03-07 01:27:54,Обращение в службу заботы о клиентах
69681,2021-03-09 13:58:50,Обращение в службу заботы о клиентах
69681,2021-03-09 18:23:45,Обращение в службу заботы о клиентах
69681,2021-03-09 18:29:21,Обращение в службу заботы о клиентах
69681,2021-03-12 09:34:54,Обращение в службу заботы о клиентах
69681,2021-03-12 10:52:52,Обращение в службу заботы о клиентах
69681,2021-03-12 10:58:31,Обращение в службу заботы о клиентах
70026,2021-03-25 12:07:26,Внутреннее сообщение
70026,2021-03-25 12:10:00,Обращение в службу заботы о клиентах
70026,2021-03-26 13:34:39,Отключение услуги Аренда ТВ-приставки
70026,2021-03-26 13:34:41,Отключение услуги Аренда ТВ-приставки
70026,2021-03-26 13:34:44,Оборудование
70026,2021-03-26 13:34:54,Оборудование
70026,2021-03-26 13:35:00,Обращение в службу заботы о клиентах
70790,2021-04-09 22:40:01,Обращение в службу заботы о клиентах
70790,2021-04-10 21:48:33,Состояние клиентского оборудования
55588,2021-04-12 15:33:46,Обращение в службу заботы о клиентах
55588,2021-04-22 16:52:16,Обращение в службу заботы о клиентах
55588,2021-04-26 17:14:51,Отключение услуги Аренда ТВ-приставки
55588,2021-04-26 17:14:56,Оборудование
55588,2021-04-26 17:15:04,Обращение в службу заботы о клиентах
62346,2021-04-15 21:03:52,Добавление в Обращались с номеров
62346,2021-04-15 21:05:18,Включение интернета на 20 минут
62346,2021-04-15 21:05:40,Обращение в службу заботы о клиентах
62346,2021-04-15 21:21:36,Обращение в службу заботы о клиентах
62346,2021-04-16 11:54:59,Операция с mac-адресом
74771,2021-04-25 17:19:28,Обращение в службу заботы о клиентах
75326,2021-04-06 14:09:29,Предложение ТВ
75326,2021-04-06 14:11:42,Обращение в службу заботы о клиентах
76230,2021-04-15 16:01:47,Обращение в службу заботы о клиентах
77239,2021-03-17 19:56:58,Добавление в Обращались с номеров
77239,2021-03-17 19:57:41,Обращение в службу заботы о клиентах
77239,2021-03-17 20:05:40,Обращение в службу заботы о клиентах
8214,2021-03-04 17:03:02,Обращение в службу заботы о клиентах
73050,2021-03-13 11:24:04,Обращение в службу заботы о клиентах
73050,2021-03-13 11:27:18,Предложение IPTV
73050,2021-03-15 10:42:31,Состояние клиентского оборудования
73050,2021-03-30 14:55:45,Смена тарифа
78377,2021-03-22 11:31:22,Обращение в службу заботы о клиентах
78377,2021-03-22 11:31:26,Предложение IPTV
78702,2021-04-16 09:32:22,Предложение ТВ
78702,2021-04-16 09:32:34,Обращение в службу заботы о клиентах
78702,2021-04-16 11:56:12,Изменение данных клиента
78702,2021-04-16 11:56:12,Возвращение клиента
78702,2021-04-16 11:58:25,Операция с mac-адресом
78702,2021-04-16 12:10:14,Активация точки подключения на сутки
78762,2021-03-25 17:34:03,Добавление в Обращались с номеров
78762,2021-03-25 17:37:24,Предложение ТВ
78762,2021-03-25 17:39:36,Обращение в службу заботы о клиентах
78762,2021-03-25 18:30:45,Операция с mac-адресом
78762,2021-03-25 18:33:59,Оборудование
78762,2021-03-25 18:40:17,Оборудование
78762,2021-04-01 19:39:58,Изменение контактных телефонов
78828,2021-04-15 19:06:13,Предложение ТВ
78828,2021-04-15 19:06:45,Обращение в службу заботы о клиентах
78872,2021-03-13 16:52:36,Добавление в Обращались с номеров
78872,2021-03-13 19:33:08,Состояние клиентского оборудования
78872,2021-03-13 19:35:51,Внесение
78872,2021-03-17 19:31:01,Изменение истории
79467,2021-04-27 09:28:03,Перенос денежных средств
80090,2021-04-07 11:46:36,Перенос денежных средств
80090,2021-04-07 11:46:56,Изменение истории
80090,2021-04-07 11:47:21,Продление действия тарифа
80811,2021-03-10 19:48:34,Изменение данных клиента
80811,2021-03-10 19:48:36,Смена IP-адреса
80811,2021-03-10 19:48:37,Смена тарифа
80811,2021-03-10 19:48:37,Внутреннее сообщение
80811,2021-03-10 19:49:09,Смена пароля
80811,2021-03-10 19:50:39,Изменение данных клиента
80811,2021-03-10 19:53:11,Блокировка
80905,2021-04-05 19:22:41,Перенос денежных средств
80905,2021-04-05 19:23:20,Изменение истории
9631,2021-03-28 10:27:09,Обращение в службу заботы о клиентах
9631,2021-03-29 10:36:58,Обращение в службу заботы о клиентах
9631,2021-03-29 13:23:09,Обращение в службу заботы о клиентах
9631,2021-03-29 15:42:41,Изменение истории
82276,2021-04-09 11:47:54,Перенос денежных средств
82276,2021-04-09 11:49:27,Изменение истории
14633,2021-03-07 11:38:21,Смена пароля
14633,2021-03-07 11:50:16,Обращение в службу заботы о клиентах
14633,2021-03-07 11:51:24,Изменение контактных телефонов
14633,2021-03-07 21:49:26,Обращение в службу заботы о клиентах
14633,2021-03-08 12:37:25,Состояние клиентского оборудования
14633,2021-03-28 17:52:15,Обращение в службу заботы о клиентах
14633,2021-03-30 18:10:36,Реестр договоров
14633,2021-03-30 18:10:44,Реестр договоров
83130,2021-04-03 17:55:14,Смена схемы оплаты
83130,2021-04-03 17:56:05,Обращение в службу заботы о клиентах
83130,2021-04-03 17:56:07,Предложение ТВ
55867,2021-03-05 22:43:16,Изменение контактных телефонов
83972,2021-03-31 22:07:41,Добавление в Обращались с номеров
83972,2021-03-31 22:19:30,Обращение в службу заботы о клиентах
84312,2021-03-26 15:07:37,Внутреннее сообщение
84312,2021-03-27 13:56:15,Изменение истории
84312,2021-03-27 13:56:41,Закрепление сообщения
84312,2021-03-27 13:56:47,Обращение в службу заботы о клиентах
84312,2021-03-29 10:28:28,Закрепление сообщения
84991,2021-04-24 19:28:14,Предложение ТВ
84991,2021-04-24 19:28:54,Обращение в службу заботы о клиентах
84991,2021-04-24 19:29:40,Смена тарифа
84991,2021-04-24 21:27:47,Обращение в службу заботы о клиентах
86204,2021-04-26 10:56:44,Внутреннее сообщение
86204,2021-04-26 10:56:52,Обращение в службу заботы о клиентах
86204,2021-04-26 10:58:04,Обращение в службу заботы о клиентах
87083,2021-04-01 17:05:52,Обращение в службу заботы о клиентах
89026,2021-04-26 13:49:13,Отключение услуги Аренда ТВ-приставки
89026,2021-04-26 13:49:16,Оборудование
89026,2021-04-26 13:53:00,Обращение в службу заботы о клиентах
91795,2021-03-27 17:07:41,Возвращение клиента
91795,2021-03-27 17:07:41,Смена тарифа
91795,2021-03-27 17:07:41,Внутреннее сообщение
91795,2021-03-27 17:08:29,Операция с mac-адресом
91795,2021-03-27 17:09:13,Изменение данных клиента
91795,2021-03-27 17:09:40,Смена следующего тарифа
91795,2021-03-27 17:10:48,Включение услуги Аренда ТВ-приставки
91795,2021-03-27 17:10:48,Включение IPTV-пакета
91795,2021-03-28 16:59:04,Обращение в службу заботы о клиентах
91795,2021-03-30 09:14:11,Обращение в службу заботы о клиентах
91795,2021-04-05 10:34:52,Отключение услуги Аренда ТВ-приставки
91795,2021-04-05 10:34:56,Оборудование
91795,2021-04-05 10:35:58,Обращение в службу заботы о клиентах
93518,2021-04-11 14:38:23,Добавление в Обращались с номеров
93518,2021-04-11 14:40:22,Обращение в службу заботы о клиентах
93518,2021-04-12 11:09:38,Внутреннее сообщение
93518,2021-04-13 18:26:40,Обращение в службу заботы о клиентах
93518,2021-04-17 14:31:33,Изменение данных клиента
93518,2021-04-17 14:31:35,Смена IP-адреса
93518,2021-04-17 14:32:01,Смена пароля
93518,2021-04-17 14:33:11,Активация точки подключения на сутки
93518,2021-04-28 13:08:44,Внутреннее сообщение
93898,2021-03-10 18:59:47,Изменение данных клиента
93898,2021-03-10 19:05:06,Смена пароля
93898,2021-03-10 19:06:16,Изменение истории
93898,2021-03-10 19:06:20,Изменение истории
93898,2021-03-10 19:06:23,Изменение истории
93898,2021-03-10 19:07:22,Активация точки подключения на сутки
93898,2021-03-10 19:12:13,Возвращение клиента
93898,2021-03-10 19:12:54,Смена тарифа
93898,2021-03-10 19:13:11,Смена тарифа
93898,2021-04-11 00:09:11,Активация гарантированного платежа
93898,2021-04-11 00:09:35,Предложение ТВ
93898,2021-04-11 00:10:24,Обращение в службу заботы о клиентах
94447,2021-04-11 18:57:36,Добавление в Обращались с номеров
94447,2021-04-11 19:00:33,Предложение ТВ
94447,2021-04-11 19:02:10,Обращение в службу заботы о клиентах
94808,2021-03-28 19:49:17,Активация гарантированного платежа
94808,2021-03-28 19:49:24,Обращение в службу заботы о клиентах
95374,2021-03-11 16:12:29,Обращение в службу заботы о клиентах
95374,2021-03-11 16:41:20,Обращение в службу заботы о клиентах
95567,2021-04-14 10:39:05,Реестр договоров
95575,2021-04-28 22:15:55,Перенос денежных средств
95575,2021-04-28 22:16:29,Изменение истории
96699,2021-04-17 16:16:24,Обращение в службу заботы о клиентах
96699,2021-04-17 16:16:56,Предложение ТВ
97532,2021-03-23 14:31:38,Обращение в службу заботы о клиентах
97770,2021-04-22 21:18:51,Перенос денежных средств
97770,2021-04-22 21:19:06,Изменение истории
97979,2021-04-11 21:04:25,Обращение в службу заботы о клиентах
98091,2021-04-20 10:27:35,Обращение в службу заботы о клиентах
98091,2021-04-21 19:01:39,Отключение услуги Аренда ТВ-приставки
98091,2021-04-21 19:01:48,Оборудование
98674,2021-03-29 22:49:02,Обращение в службу заботы о клиентах
98674,2021-03-29 22:58:06,Обращение в службу заботы о клиентах
98970,2021-04-01 10:31:08,Обращение в службу заботы о клиентах
98970,2021-04-01 10:36:45,Обращение в службу заботы о клиентах
98970,2021-04-01 10:38:01,Внутреннее сообщение
98991,2021-04-12 15:28:04,Предложение ТВ
98991,2021-04-12 15:34:20,Обращение в службу заботы о клиентах
98991,2021-04-15 13:20:18,Добавление в Обращались с номеров
98991,2021-04-15 13:21:08,Обращение в службу заботы о клиентах
99459,2021-04-11 12:34:23,Операция с mac-адресом
99459,2021-04-15 15:00:51,Добавление в Обращались с номеров
100209,2021-03-05 17:28:43,Предложение IPTV
100209,2021-03-05 17:28:53,Обращение в службу заботы о клиентах
103255,2021-03-08 11:56:37,Включение интернета на 20 минут
103255,2021-03-30 20:14:13,Обращение в службу заботы о клиентах
103255,2021-04-13 21:04:11,Обращение в службу заботы о клиентах
103255,2021-04-13 21:05:20,Предложение тарифа
103742,2021-04-26 17:34:36,Отключение услуги Аренда ТВ-приставки
103742,2021-04-26 17:34:40,Оборудование
103742,2021-04-26 17:34:53,Обращение в службу заботы о клиентах
103742,2021-04-26 17:45:45,Закрепление сообщения
103767,2021-03-21 17:21:26,Обращение в службу заботы о клиентах
103767,2021-03-21 20:51:24,Обращение в службу заботы о клиентах
103767,2021-04-10 16:10:14,Обращение в службу заботы о клиентах
106467,2021-03-05 12:49:06,Внутреннее сообщение
106467,2021-03-05 12:50:49,Обращение в службу заботы о клиентах
106467,2021-03-05 18:36:44,Изменение данных клиента
106467,2021-03-05 18:36:45,Смена IP-адреса
106467,2021-03-05 18:37:23,Смена пароля
106467,2021-03-05 18:38:17,Активация точки подключения на сутки
106467,2021-04-01 19:32:20,Внутреннее сообщение
106467,2021-04-03 13:54:33,Отключение услуги Аренда ТВ-приставки
106467,2021-04-03 13:54:37,Оборудование
29046,2021-04-05 14:24:48,Обращение в службу заботы о клиентах
29046,2021-04-05 15:56:20,Операция с mac-адресом
108419,2021-03-03 13:13:54,Закрепление сообщения
108419,2021-03-09 20:51:48,Обращение в службу заботы о клиентах
108820,2021-03-22 19:19:08,Внутреннее сообщение
108820,2021-03-28 18:49:18,Предложение тарифа
108820,2021-03-28 18:49:19,Предложение ТВ-пакета
108820,2021-03-29 18:27:02,Отключение услуги Аренда ТВ-приставки
108820,2021-03-29 18:27:08,Оборудование
108820,2021-04-18 13:18:19,Перенос денежных средств
108885,2021-04-07 15:40:24,Обращение в службу заботы о клиентах
111704,2021-04-17 14:12:42,Обращение в службу заботы о клиентах
111704,2021-04-18 11:38:20,Отключение услуги Аренда ТВ-приставки
111704,2021-04-18 11:40:01,Включение услуги Аренда ТВ-приставки
111704,2021-04-18 11:40:01,Включение IPTV-пакета
111704,2021-04-18 11:40:06,Отключение услуги Аренда ТВ-приставки
111704,2021-04-18 11:41:46,Оборудование
111856,2021-03-20 19:29:39,Изменение данных клиента
111856,2021-03-20 19:29:39,Возвращение клиента
111856,2021-03-20 19:29:39,Смена тарифа
111856,2021-03-20 19:29:39,Внутреннее сообщение
111856,2021-03-20 19:29:40,Активация точки подключения на сутки
112304,2021-04-12 07:21:34,Перенос денежных средств
112304,2021-04-12 07:22:18,Продление действия тарифа
113171,2021-04-07 20:55:50,Перенос денежных средств
113171,2021-04-07 20:56:04,Изменение истории
113301,2021-03-28 22:26:52,Внесение
113301,2021-03-29 22:31:01,Изменение истории
115019,2021-03-30 23:02:01,Изменение данных клиента
115019,2021-03-30 23:04:07,Реестр договоров
115244,2021-04-05 14:32:48,Добавление в Обращались с номеров
115244,2021-04-05 14:34:32,Обращение в службу заботы о клиентах
115988,2021-04-12 14:09:02,Обращение в службу заботы о клиентах
115988,2021-04-12 14:11:10,Обращение в службу заботы о клиентах
116076,2021-04-20 20:28:02,Предложение ТВ
116076,2021-04-20 20:28:15,Обращение в службу заботы о клиентах
116087,2021-03-25 21:39:04,Обращение в службу заботы о клиентах
117598,2021-03-01 11:28:44,Закрепление сообщения
117598,2021-03-19 18:37:37,Обращение в службу заботы о клиентах
117598,2021-03-20 14:03:22,Обращение в службу заботы о клиентах
118300,2021-03-27 12:35:28,Добавление в Обращались с номеров
118300,2021-03-27 12:37:15,Смена пароля
118300,2021-03-27 12:38:02,Предложение ТВ
118300,2021-03-27 12:38:25,Обращение в службу заботы о клиентах
118300,2021-04-12 17:10:11,Смена пароля
118300,2021-04-12 17:10:12,Смена пароля
118300,2021-04-12 17:10:18,Обращение в службу заботы о клиентах
118300,2021-04-12 17:10:55,Предложение тарифа
118930,2021-04-02 19:17:21,Добавление в Обращались с номеров
118930,2021-04-02 19:21:36,Предложение ТВ-пакета
118930,2021-04-02 19:21:49,Обращение в службу заботы о клиентах
119396,2021-03-07 10:46:13,Добавление в Обращались с номеров
119396,2021-03-07 10:47:49,Обращение в службу заботы о клиентах
119396,2021-03-09 21:22:13,Обращение в службу заботы о клиентах
119396,2021-03-10 12:36:52,Обращение в службу заботы о клиентах
119396,2021-03-17 17:14:51,Отключение услуги Аренда ТВ-приставки
119396,2021-03-17 17:17:25,Оборудование
119460,2021-04-04 20:18:15,Смена тарифа
119460,2021-04-04 20:18:38,Предложение ТВ
119460,2021-04-04 20:19:00,Обращение в службу заботы о клиентах
121512,2021-03-03 12:06:22,Обращение в службу заботы о клиентах
121512,2021-03-03 16:58:52,Добавление в Обращались с номеров
121512,2021-03-03 17:03:21,Предложение автоплатежа
121512,2021-03-04 04:34:31,Обращение в службу заботы о клиентах
121512,2021-03-18 00:52:39,Добавление в Обращались с номеров
121512,2021-03-18 00:57:16,Обращение в службу заботы о клиентах
121512,2021-03-19 15:09:21,Обращение в службу заботы о клиентах
121512,2021-03-19 16:14:58,Состояние клиентского оборудования
122260,2021-03-18 10:08:05,Внутреннее сообщение
122260,2021-03-30 16:13:25,Обращение в службу заботы о клиентах
123037,2021-03-02 13:08:43,Добавление в Обращались с номеров
123037,2021-03-02 13:15:34,Внутреннее сообщение
123037,2021-03-02 17:04:06,Изменение данных клиента
123037,2021-03-02 17:04:08,Смена IP-адреса
123037,2021-03-02 17:05:18,Смена тарифа
123037,2021-03-02 17:06:43,Включение услуги Аренда ТВ-приставки
123037,2021-03-02 17:06:43,Включение IPTV-пакета
123037,2021-03-02 17:06:43,Оборудование
123037,2021-03-02 17:11:10,Смена пароля
123037,2021-03-03 00:17:42,Смена пароля
123604,2021-03-19 03:23:13,Внутреннее сообщение
123604,2021-03-19 03:25:10,Обращение в службу заботы о клиентах
123604,2021-03-19 15:33:09,Внутреннее сообщение
125733,2021-03-19 16:01:42,Обращение в службу заботы о клиентах
125733,2021-03-31 18:33:46,Обращение в службу заботы о клиентах
125938,2021-03-18 08:00:40,Внутреннее сообщение
125938,2021-04-23 16:47:17,Обращение в службу заботы о клиентах
125938,2021-04-23 17:18:44,Внутреннее сообщение
125938,2021-04-27 12:08:19,Отключение услуги Аренда ТВ-приставки
125938,2021-04-27 12:08:22,Оборудование
125938,2021-04-27 12:08:44,Обращение в службу заботы о клиентах
125938,2021-04-27 12:08:57,Изменение истории
125938,2021-04-27 13:15:53,Закрепление сообщения
125938,2021-04-27 13:15:56,Закрепление сообщения
126092,2021-04-10 11:02:23,Активация точки подключения на сутки
126334,2021-04-09 22:08:13,Обращение в службу заботы о клиентах
126364,2021-03-11 12:29:39,Обращение в службу заботы о клиентах
126364,2021-03-11 13:27:04,Оборудование
126413,2021-03-09 12:11:13,Обращение в службу заботы о клиентах
126413,2021-03-19 10:20:49,Смена пароля
126413,2021-03-19 10:21:48,Смена тарифа
126413,2021-03-19 10:21:50,Изменение данных клиента
126413,2021-03-19 10:21:52,Смена IP-адреса
126413,2021-03-19 10:21:52,Смена тарифа
126413,2021-03-19 10:21:52,Внутреннее сообщение
126413,2021-03-19 10:28:09,Блокировка
127116,2021-04-22 18:22:34,Обращение в службу заботы о клиентах
127738,2021-04-02 16:50:42,Состояние клиентского оборудования
128466,2021-03-11 13:48:54,Изменение контактных телефонов
128466,2021-03-12 18:49:27,Изменение данных клиента
128466,2021-03-12 18:49:28,Смена IP-адреса
128466,2021-03-12 18:50:00,Смена пароля
128466,2021-03-12 18:51:15,Отключение скидки 20%
128466,2021-03-12 18:51:15,Смена тарифа
128466,2021-03-12 19:00:54,Активация точки подключения на сутки
128466,2021-03-12 19:08:47,Включение услуги Аренда ТВ-приставки
128466,2021-03-12 19:08:47,Включение IPTV-пакета
128466,2021-03-12 19:08:47,Оборудование
128466,2021-03-31 10:51:54,Отключение услуги Аренда ТВ-приставки
128466,2021-03-31 10:51:57,Оборудование
128466,2021-03-31 10:52:12,Обращение в службу заботы о клиентах
128585,2021-03-26 11:07:14,Реестр договоров
131236,2021-04-09 17:11:07,Перенос денежных средств
131236,2021-04-09 17:11:14,Перенос денежных средств
131236,2021-04-09 17:12:27,Изменение истории
131598,2021-04-17 02:46:28,Перенос денежных средств
132397,2021-03-01 23:00:33,Активация ГП с IVR
132397,2021-03-04 23:24:19,Активация ГП с IVR
132397,2021-03-16 17:01:49,Обращение в службу заботы о клиентах
132397,2021-03-16 19:12:04,Операция с mac-адресом
132397,2021-03-16 19:15:14,Оборудование
132397,2021-03-16 19:16:36,Состояние клиентского оборудования
132397,2021-03-22 18:26:03,Обращение в службу заботы о клиентах
132397,2021-04-14 13:42:18,Обращение в службу заботы о клиентах
132397,2021-04-21 15:25:51,Отключение услуги Аренда ТВ-приставки
132397,2021-04-21 15:25:56,Оборудование
133428,2021-03-26 19:14:17,Изменение данных клиента
133428,2021-03-26 19:14:17,Возвращение клиента
133428,2021-03-26 19:14:18,Смена тарифа
133428,2021-03-26 19:14:18,Внутреннее сообщение
133428,2021-03-29 11:18:05,Изменение контактных телефонов
133616,2021-04-13 16:13:18,Обращение в службу заботы о клиентах
133616,2021-04-13 16:23:58,Обращение в службу заботы о клиентах
133616,2021-04-13 16:30:44,Предложение тарифа
133616,2021-04-13 16:30:55,Операция с mac-адресом
133616,2021-04-13 16:31:51,Обращение в службу заботы о клиентах
135427,2021-03-16 21:51:55,Смена пароля
135427,2021-03-16 21:52:29,Предложение IPTV
135427,2021-03-16 21:52:45,Обращение в службу заботы о клиентах
135427,2021-03-17 18:18:15,Обращение в службу заботы о клиентах
135427,2021-03-17 18:19:35,Обращение в службу заботы о клиентах
135427,2021-03-23 13:10:35,Обращение в службу заботы о клиентах
135702,2021-03-11 16:41:28,Внутреннее сообщение
135702,2021-03-11 17:25:21,Изменение данных клиента
135702,2021-03-11 17:25:23,Смена IP-адреса
135702,2021-03-11 17:29:59,Активация точки подключения на сутки
136803,2021-03-29 11:43:46,Обращение в службу заботы о клиентах
137685,2021-04-08 21:07:24,Внутреннее сообщение
137685,2021-04-08 21:09:35,Обращение в службу заботы о клиентах
137950,2021-03-29 18:22:39,Изменение данных клиента
137950,2021-03-29 18:22:41,Смена IP-адреса
137950,2021-03-29 18:23:07,Операция с mac-адресом
137950,2021-03-29 18:23:23,Смена тарифа
137950,2021-03-29 18:23:36,Активация точки подключения на сутки
137950,2021-03-29 18:24:52,Изменение данных клиента
137950,2021-03-29 18:25:27,Оборудование
137950,2021-03-30 14:04:54,Изменение данных клиента
137950,2021-03-30 14:15:16,Включение Бесплатной аренды
137950,2021-03-30 14:15:16,Включение услуги Аренда ТВ-приставки
137950,2021-03-30 14:15:16,Включение IPTV-пакета
